,Nombre,Championships,involvements,Grands,no,teammates,seasons,constructors,engine,models,retirements,33,pole,69,2,fastests,13,podiums,48,00,teammate,season,constructor,27,model,win,29,6,71,1,retirement,34,wins,06,86,23,10,35,63,14,45,42,15,5,20,61,30,65,57,21,31,4,75,87,19,74,involvement,50,72,17,Grand,67,podium,3,8,54,12,92,28,85,18,68,59,09,55
0,Corrado Fabi,0,18,12,6,2,2,2,3,3,10,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Teo Fabi,0,71,64,7,5,5,3,3,6,48,,3,4,13,2,3,2,13,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pascal Fabre,0,14,11,3,,,,1,2,3,,,,,,,,,,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carlo Facetti,0,,,1,,,,1,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Luigi Fagioli,0,6,7,,6,2,,1,2,,,,,,,,6,,,,,1,,,1,14,29,85,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jack Fairman,0,34,12,1,14,8,5,4,8,7,58,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Juan Manuel Fangio,5,42,51,2,33,9,5,5,8,14,,29,,,23,,35,,,,,,,,,06,,,,,,24,47,56,86,45,10,68,63,27,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milt Fankhauser,0,,,1,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Giuseppe Farina,1,65,33,4,21,7,4,3,8,10,,5,,,5,,20,,,,,,,,,,,,,,,5,,,,61,,,,,,15,15,15,60,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Walt Faulkner,0,5,5,2,4,6,5,2,7,,,1,,,,,,,20,,,,,,,,,,00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fairuz Fauzy,0,5,,,2,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Johnny Fedricks,0,,,4,,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Willie Ferguson,0,,,1,,,,1,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ralph Firman,0,15,14,1,4,,,1,,6,,,,,,,,,,,1,1,,1,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ludwig Fischer,0,3,,1,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Rudi Fischer,0,21,7,2,4,3,2,2,3,,,,,,,,2,,,,,,,,,14,,,57,1,,,,,,,,,,,,,,,,,,28,29,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mike Fisher,0,,2,,,,,1,,,,,,,,,,,50,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Giancarlo Fisichella,0,231,229,2,14,14,7,8,15,74,,4,,75,2,,19,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,8,,,,32,31,1,0,87,30,,,,,,,,,,,,,,,,,,,
18,John Fitch,0,,2,,2,2,2,2,2,,,,,,,,,,50,,,,,,,,,,00,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
19,Christian Fittipaldi,0,43,40,3,3,3,2,2,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,
20,Emerson Fittipaldi,2,21,144,5,12,11,4,2,13,50,,6,,,6,,35,,,,,,,,,,17,,,,,14,,,,,17,,,,,,,,,,,,72,24,,,,,,,31,34,4,,,,,,,,,,,,,,,
21,Pietro Fittipaldi,0,,2,,2,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wilson Fittipaldi,0,4,35,3,2,3,2,1,7,21,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,,,,,,,,,,
23,Theo Fitzau,0,,,,,,,1,,,,,,,,,,,100,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
24,Pat Flaherty,0,,6,,3,6,2,2,5,3,,1,,,,,,,50,,,,,,1,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,67,,,,,,,,,,,
25,Jan Flinterman,0,,,,3,,,1,,,,,,,,,,,100,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
26,Ron Flockhart,0,20,13,3,16,6,5,4,6,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,1,,69,61,,,,,,,,,
27,Myron Fohr,0,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
28,Gregor Foitek,0,22,7,15,3,2,5,2,6,6,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,George Follmer,0,3,12,2,2,,,1,,5,8,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,41,1,67,,,,,,,,,,,
30,George Fonder,0,4,2,4,2,5,5,2,6,,,,,,,,,,50,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Adderly Fong,0,,,,2,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
32,Norberto Fontana,0,,4,,,,,1,,,,,,,,,,,25,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Carl Forberg,0,3,,2,,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
34,Gene Force,0,4,2,3,5,5,5,1,6,2,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Franco Forini,0,3,2,1,,,,1,,2,,,,,,,,,100,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Philip Fotheringham-parker,0,12,,,,,,1,,,,,,,,,,,100,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,00,,,,,,,,
37,Aj Foyt,0,6,3,3,6,5,4,3,4,2,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,66,,,,,,,,,,,,,
38,Dick Fraizer,0,,,2,,2,2,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Giorgio Francia,0,,,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Don Freeland,0,,8,,,8,3,1,5,4,,,,,,,,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,12,,,,,1,,,,,,,,,,,,
41,Heinz-harald Frentzen,0,161,156,5,13,10,5,8,13,68,,2,,92,6,,18,,,,,,,,,,28,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,1,3,85,54,43,,
42,Paul Frere,0,2,11,,16,5,4,3,6,6,,,,55,,,,,,,,,,,,,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,54
43,Patrick Friesacher,0,,11,,,,,1,2,6,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
44,Robin Frijns,0,2,,,2,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Joe Fry,0,2,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
46,Andy Furci,0,,,1,,,,1,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hiroshi Fushida,0,,,2,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
